IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
142493-15092023,15-Sep-23,2023,10,TOWER HAMLETS,535450,181450,425.0,Millwall,inf,inf,51.51574219827876,-0.04932184680989023,Millwall,51.500806,-0.025725,19.77,62455.0,7085.781804491156,2333.5481939727283,6-9min
094929-27062023,27-Jun-23,2023,16,SUTTON,530150,165250,243.0,Croydon,inf,inf,51.37140159842399,-0.13161085876918582,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,1869.5763071460403,3-6min
162275-17102023,17-Oct-23,2023,22,BRENT,523150,185450,314.0,Willesden,51.554893664186956,-0.22474557507088075,51.55450324982135,-0.2250925486199145,Willesden,51.54468,-0.23663,43.24,112973.0,8634.041435717692,1405.792199166776,3-6min
087794-16062023,16-Jun-23,2023,18,EALING,517550,181150,222.0,Ealing,51.51736971609611,-0.3075669757773614,51.51705058028654,-0.30726172001239616,Ealing,51.51217,-0.3137,55.53,91532.0,12909.930286465416,719.3016846234581,3-6min
164165-20102023,20-Oct-23,2023,22,HILLINGDON,505350,182250,329.0,Hillingdon,51.52945824657376,-0.4833199333855599,51.52934218890006,-0.48268946165765897,Hillingdon,51.53228,-0.45221,115.7,76198.0,22665.210491894057,2179.426652923323,3-6min
161249-16102023,16-Oct-23,2023,9,SOUTHWARK,533450,175050,473.0,Brixton,51.45914306826172,-0.08041112886237044,51.458704615143255,-0.08054468462406539,Brixton,51.4634153,-0.1119599,26.82,63500.0,4990.712567649768,2245.313765570566,6-9min
135815-05092023,05-Sep-23,2023,13,ISLINGTON,531150,185350,364.0,Stoke Newington,inf,inf,51.5518033184459,-0.10980421807077642,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,2574.2331471722923,6-9min
079371-04062023,04-Jun-23,2023,10,EALING,520450,180750,191.0,Acton,51.51314472088877,-0.26579979099377593,51.51284537068265,-0.2656238070266915,Acton,51.50715,-0.27691,55.53,91532.0,10349.6321961511,1022.0160862155792,3-6min
163126-19102023,19-Oct-23,2023,11,GREENWICH,543250,177750,312.0,Plumstead,inf,inf,51.48057312673353,0.061512737004232224,Plumstead,51.48742785,0.09135732,47.35,57851.0,15319.13487631769,2208.97376123512,3-6min
056206-23042023,23-Apr-23,2023,13,WESTMINSTER,527450,182150,235.0,Soho,inf,inf,51.523892758325296,-0.16429723894738296,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,2570.454095244957,3-6min
035142-11032023,11-Mar-23,2023,19,CROYDON,532650,165050,182.0,Croydon,inf,inf,51.36902629737793,-0.0957907289133904,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,643.3736861089586,3-6min
044975-31032023,31-Mar-23,2023,21,HILLINGDON,510450,181550,312.0,Hillingdon,inf,inf,51.52207713151897,-0.409417937160908,Hillingdon,51.53228,-0.45221,115.7,76198.0,22665.210491894057,3179.292695368441,3-6min
086511-14062023,14-Jun-23,2023,19,NEWHAM,542050,180150,266.0,Plaistow,inf,inf,51.50244128294013,0.04520875718795379,Plaistow,51.520068,0.031699,36.22,116875.0,11120.328820106488,2173.8474467791602,3-6min
015683-01022023,01-Feb-23,2023,5,EALING,511950,178850,397.0,Southall,51.49765466990809,-0.3883700671491841,51.49751482033022,-0.38866313258831825,Southall,51.51144,-0.37448,55.53,91532.0,17114.811924824804,1810.4109890491247,6-9min
167894-27102023,27-Oct-23,2023,17,SOUTHWARK,534950,178350,296.0,Deptford,51.488112570475465,-0.0577323066220683,51.488004257884064,-0.05770810121250896,Deptford,51.48489956,-0.03380805,35.15,74952.0,6948.464184782571,1697.6620681167572,3-6min
010713-22012023,22-Jan-23,2023,17,WANDSWORTH,528150,175850,241.0,Clapham,inf,inf,51.467117620102684,-0.1564985414717376,Clapham,51.4648861,-0.1435183,26.82,63500.0,4838.483661929665,935.568641796354,3-6min
012038-25012023,25-Jan-23,2023,1,WESTMINSTER,525150,181850,278.0,North Kensington,inf,inf,51.52171053107903,-0.19753865725497605,North Kensington,51.5218389,-0.2148304,12.13,47980.0,6264.950872916909,1200.2602406837268,3-6min
122393-13082023,13-Aug-23,2023,16,ISLINGTON,531350,183950,241.0,Islington,inf,inf,51.53917575927216,-0.10744341031643781,Islington,51.539912,-0.102337,14.86,108384.0,4036.576352007245,363.6309811021129,3-6min
042958-27032023,27-Mar-23,2023,20,HOUNSLOW,511050,173150,52.0,Twickenham,inf,inf,51.44646049687839,-0.40341233549203026,Twickenham,51.4674071,-0.3199681,57.41,97616.0,14048.66163547699,6250.561373255795,0-3min
042986-27032023,27-Mar-23,2023,21,WESTMINSTER,530250,180950,191.0,Soho,51.512598279471476,-0.123951432927636,51.51247062079528,-0.12440344407750366,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,559.2523730238643,3-6min
142960-16092023,16-Sep-23,2023,1,HOUNSLOW,509750,172950,370.0,Feltham,inf,inf,51.44491602560056,-0.42217325330333333,Feltham,51.46076,-0.41383,55.99,95980.0,20496.509403628635,1855.7061851027493,6-9min
024486-17022023,17-Feb-23,2023,22,BEXLEY,548850,174350,452.0,Sidcup,51.448544796708305,0.14006100790444254,51.44857869432491,0.14066706549046182,Sidcup,51.42706568,0.09456477,60.56,82181.0,17781.077427293403,3967.1749957326183,6-9min
065861-11052023,11-May-23,2023,13,LEWISHAM,534350,172150,409.0,Forest Hill,inf,inf,51.43243127046409,-0.06869809351916384,Forest Hill,51.442526,-0.04486797,35.15,74952.0,9196.60724664435,2001.785559665862,6-9min
095732-28062023,28-Jun-23,2023,21,RICHMOND UPON THAMES,519250,170450,316.0,Kingston,51.420409662321376,-0.28624032466124083,51.420528602345826,-0.28637970173309096,Kingston,51.4293729,-0.3091976,37.25,55948.0,15278.913526276205,1884.211806704629,3-6min
111784-25072023,25-Jul-23,2023,22,BARNET,525050,196150,151.0,Barnet,51.650446211683345,-0.19411349637375053,51.65024494788264,-0.19389020909300336,Barnet,51.64717,-0.18591,86.74,97160.0,16095.505140908866,673.3951220302239,0-3min
033359-08032023,08-Mar-23,2023,12,SOUTHWARK,532750,179350,536.0,Brixton,51.49777386837371,-0.08968035124960892,51.497510987876375,-0.08899979904485011,Brixton,51.4634153,-0.1119599,26.82,63500.0,4990.712567649768,4124.905439593708,6-9min
065610-10052023,10-May-23,2023,23,CROYDON,531950,165750,212.0,Croydon,inf,inf,51.37547994437261,-0.10558108084311,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,717.156871104394,3-6min
